i,Action,Industry,Country,ИНН
Aalberts,"continue operations on an unspecified ""lower"" level & postpone investments",Industrials,Netherlands,
Abbott Laboratories,suspend non-essential business activity,Health Care,United States,7725594604
Abbvie,"suspend aesthetics operations, pause new clinical trials",Health Care,United States,7743855873
Accor,suspend new investments/development,Consumer Discretionary,France,7704662187
Accumalux,"still operating plant in Togliatti, Russia",Consumer Discretionary,Luxembourg,6321413868
Aegon,ending new investments where has control over fund,Financials,Netherlands,
Air Liquide,"Some clients no longer supplied, others scaled down; all Russian investments on hold",Materials,France,3528103017
Airbus,"suspend supply of parts and deliveries/servicing, t but continue substantial titanium purchases from Russia",Industrials,Netherlands,9704116463
Akrapovič,still operating in Russia,Consumer Discretionary,Slovenia,
Alcon,suspend new investments and new clinical trial enrollment in Russia,Health Care,Switzerland,7717584659
AmerisourceBergen,"cease new business initiatives but continue existing clinical trials, and distributing health products",Health Care,United States,
Andbank,investigate if Russian customers are subject to European sanctions,Financials,Andorra,
Andritz,suspend unspecified new business in Russia for time being,Industrials,Austria,7826085064
Anecoop,diverting sales away from Russia,Consumer Staples,Spain,7719738110
Archer Daniels Midland (ADM),unspecified scaling down of non-essential operations,Consumer Staples,United States,7725789434
Arconic,pause new contracts but continue existing,Materials,United States,6310000160
AstraZeneca,halt new investments/new clinical trials,Health Care,United Kingdom,7704579700
Aurubis AG,monitor situation and review structures of Russian business partners,Industrials,Germany,
Bang & Bonsomer,suspend new investments but still operating in Russia,Materials,Finland,7726568572
Barilla,all new investments and advertising activities on hold; limit Russia production to pasta and bread,Consumer Staples,Italy,5044022794
Barry Callebaut,suspend capital investment,Consumer Staples,Switzerland,3906401039
Bayer,stopping unspecified non-essential business activity,Health Care,Germany,7704017596
Binance,"restrict Russian accounts with over €10,000",Financials,China,
BlaBlaCar,Stopped new investment but stays in Russia,Information Technology,France,
Boiron,suspend new investments & stop clinical trials,Health Care,France,7725548693
Bolt,remove all Russia-manufactured and Russian-branded goods,Information Technology,Estonia,7706741388
Bristol-Myers Squibb,pause new trials & stop enrollment of new participants; still actively hiring in Russia,Health Care,United States,7705022542
Calfrac Well Services,suspension of new investments in Russia,Energy,Canada,7725778471
Campari,continue sales in Russia but suspend new investments,Consumer Staples,Italy,7723560448
CANPACK,Stopped new investments,Materials,Poland,2502033324
"CAPRI Holdings (Versace, Michael Kors, Jimmy Cho)",online orders unavailable but still advertising; no information about on-site sales,Consumer Discretionary,United States,
Cargill,unspecified scaling down of non-essential operations,Consumer Staples,United States,7113502396
Carmim,suspend some orders in backlog,Consumer Staples,Portugal,
Citadele Banka,still allows transactions to Russia but introduced more thorough checks,Financials,Latvia,
Colgate-Palmolive,continue essential health and hygiene products,Consumer Staples,United States,5024012156
Corticeira Amorim,commerical activity suspended,Materials,Portugal,
Crèdit Andorrà,investigate if Russian customers are subject to European sanctions,Financials,Andorra,
Danone,suspend all investment projects but continue dairy products; suspend imports of Evian and Alpro products,Consumer Staples,France,7714626332
Deceuninck,stop investments & cut links with other establishments,Industrials,Belgium,7714576900
Delonghi,paused new shipments and  investments,Consumer Discretionary,Italy,1646017441
DMK Group,suspend new investments/advertising but continue sales and plant operations in Russia,Consumer Staples,Germany,7802341992
Domino's Pizza,suspend royalty payments & limit investment – restaurants remain open,Consumer Discretionary,United States,
dōTERRA,suspend new investment in Russia,Consumer Staples,United States,7329014930
Dr. Theiss,suspend advertisement,Health Care,Germany,7725718602
Ecco,suspend new investments still operating in Russia,Consumer Discretionary,Denmark,5042013346
Eesti Gaas,continues to import Russian gas but is looking for alternatives,Energy,Estonia,
